ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,90209,TEXTRANK.TXT,0.28333,0.36170,0.31776,1

ROUGE-2+StopWordRemoval,90209,TEXTRANK.TXT,0.07950,0.10160,0.08920,1

ROUGE-3+StopWordRemoval,90209,TEXTRANK.TXT,0.02521,0.03226,0.02830,1

ROUGE-1+StopWordRemoval,91574,TEXTRANK.TXT,0.63636,0.68966,0.66194,1

ROUGE-2+StopWordRemoval,91574,TEXTRANK.TXT,0.55708,0.60396,0.57957,1

ROUGE-3+StopWordRemoval,91574,TEXTRANK.TXT,0.52294,0.56716,0.54415,1

ROUGE-1+StopWordRemoval,91575,TEXTRANK.TXT,0.43182,0.45238,0.44186,1

ROUGE-2+StopWordRemoval,91575,TEXTRANK.TXT,0.19772,0.20717,0.20233,1

ROUGE-3+StopWordRemoval,91575,TEXTRANK.TXT,0.12595,0.13200,0.12891,1

ROUGE-1+StopWordRemoval,98649,TEXTRANK.TXT,0.52915,0.59296,0.55924,1

ROUGE-2+StopWordRemoval,98649,TEXTRANK.TXT,0.33784,0.37879,0.35714,1

ROUGE-3+StopWordRemoval,98649,TEXTRANK.TXT,0.28054,0.31472,0.29665,1

ROUGE-1+StopWordRemoval,91694,TEXTRANK.TXT,0.53386,0.57511,0.55372,1

ROUGE-2+StopWordRemoval,91694,TEXTRANK.TXT,0.38000,0.40948,0.39419,1

ROUGE-3+StopWordRemoval,91694,TEXTRANK.TXT,0.35341,0.38095,0.36667,1

ROUGE-1+StopWordRemoval,90521,TEXTRANK.TXT,0.31489,0.38342,0.34579,1

ROUGE-2+StopWordRemoval,90521,TEXTRANK.TXT,0.12393,0.15104,0.13615,1

ROUGE-3+StopWordRemoval,90521,TEXTRANK.TXT,0.05579,0.06806,0.06132,1

ROUGE-1+StopWordRemoval,90366,TEXTRANK.TXT,0.67391,0.84545,0.75000,1

ROUGE-2+StopWordRemoval,90366,TEXTRANK.TXT,0.64000,0.80365,0.71255,1

ROUGE-3+StopWordRemoval,90366,TEXTRANK.TXT,0.61679,0.77523,0.68699,1

ROUGE-1+StopWordRemoval,9148,TEXTRANK.TXT,0.90114,1.00000,0.94800,1

ROUGE-2+StopWordRemoval,9148,TEXTRANK.TXT,0.90076,1.00000,0.94779,1

ROUGE-3+StopWordRemoval,9148,TEXTRANK.TXT,0.90038,1.00000,0.94758,1

ROUGE-1+StopWordRemoval,90368,TEXTRANK.TXT,0.96911,1.00000,0.98431,1

ROUGE-2+StopWordRemoval,90368,TEXTRANK.TXT,0.96512,0.99600,0.98031,1

ROUGE-3+StopWordRemoval,90368,TEXTRANK.TXT,0.96109,0.99197,0.97628,1

ROUGE-1+StopWordRemoval,90126,TEXTRANK.TXT,0.90594,1.00000,0.95065,1

ROUGE-2+StopWordRemoval,90126,TEXTRANK.TXT,0.90050,0.99451,0.94517,1

ROUGE-3+StopWordRemoval,90126,TEXTRANK.TXT,0.89500,0.98895,0.93963,1

ROUGE-1+StopWordRemoval,91724,TEXTRANK.TXT,0.39535,0.50000,0.44156,1

ROUGE-2+StopWordRemoval,91724,TEXTRANK.TXT,0.17333,0.21941,0.19367,1

ROUGE-3+StopWordRemoval,91724,TEXTRANK.TXT,0.09030,0.11441,0.10093,1

ROUGE-1+StopWordRemoval,91685,TEXTRANK.TXT,0.46364,0.49275,0.47775,1

ROUGE-2+StopWordRemoval,91685,TEXTRANK.TXT,0.24658,0.26214,0.25412,1

ROUGE-3+StopWordRemoval,91685,TEXTRANK.TXT,0.11927,0.12683,0.12293,1

